transaction_id,customer_id,transaction_date,transaction_time,amount,merchant_category,transaction_type,device_type,card_present,home_city,transaction_city,distance_from_home_km,account_age_days,prev_txn_count_24h,is_fraud
501783,102368,2026-04-15,11:43:00,1812.26,ATM Withdrawal,POS,Web Browser,No,Rajpura,Rajpura,12.5,3906,1,0
503918,184978,2026-01-05,01:27:00,66182.3,Dining,ONLINE,USSD,No,Chennai,Bengaluru,1389.9,24,4,1
500222,145577,2026-05-07,02:48:00,5041.9,E-commerce,ONLINE,USSD,No,Chennai,Chennai,5.1,2486,1,0
502136,168542,2026-08-28,22:27:00,12029.35,Travel,ONLINE,Mobile App,Yes,Hyderabad,Hyderabad,4.6,3445,1,0
505225,152800,2026-03-25,16:47:00,245.84,ATM Withdrawal,POS,Mobile App,Yes,Ahmedabad,Ahmedabad,8.8,3046,2,0
501169,199819,2026-03-22,08:00:00,2096.17,E-commerce,UPI,Web Browser,No,Chennai,Chennai,6.2,3255,3,0
500880,163000,2026-03-31,13:29:00,6237.32,Fuel,POS,ATM Machine,Yes,Pune,Pune,12.8,564,4,0
500157,112627,2026-06-25,21:23:00,1508.59,Utility Bill,ATM,USSD,No,Mumbai,Mumbai,9.7,2302,1,0
501658,187387,2026-01-05,14:38:00,4456.37,ATM Withdrawal,ONLINE,Mobile App,No,Jaipur,Jaipur,8.3,1288,1,0
500324,191600,2026-03-09,13:34:00,4459.53,Grocery,POS,POS Terminal,No,Jaipur,Jaipur,13.7,88,0,0
505303,117732,2026-01-31,14:18:00,864.6,Utility Bill,ONLINE,Web Browser,No,Delhi,Delhi,5.8,2198,1,0
502612,192749,2026-07-19,10:36:00,765.81,Travel,ATM,Mobile App,Yes,Delhi,Delhi,1.4,3852,2,0
500812,187919,2026-04-25,17:27:00,6101.24,E-commerce,ATM,POS Terminal,No,Rajpura,Rajpura,5.9,3524,1,0
500394,159937,2026-02-20,18:14:00,4395.86,Fuel,ATM,Web Browser,Yes,Pune,Pune,0.2,557,1,0
503594,156882,2026-03-24,05:52:00,6419.93,E-commerce,POS,Web Browser,Yes,Delhi,Delhi,5.0,513,3,0
502639,115103,2026-07-30,16:56:00,3059.68,ATM Withdrawal,ONLINE,POS Terminal,Yes,Ahmedabad,Ahmedabad,5.2,1040,1,0
502188,125780,2026-05-03,18:35:00,1684.87,Grocery,UPI,Mobile App,Yes,Delhi,Delhi,11.6,1623,2,0
505352,150097,2026-01-18,17:16:00,5313.02,Travel,UPI,Web Browser,Yes,Jaipur,Jaipur,5.8,3806,3,0
500320,176863,2026-05-11,22:22:00,2226.34,Dining,NEFT,Web Browser,Yes,Chennai,Chennai,10.9,3023,1,0
500168,116697,2026-05-25,01:03:00,4105.06,Grocery,UPI,ATM Machine,Yes,Ahmedabad,Ahmedabad,2.6,838,2,0
500747,153219,2026-02-26,07:55:00,1539.37,Jewellery,ATM,POS Terminal,Yes,Mumbai,Mumbai,2.4,1749,1,0
505471,159338,2026-01-02,01:25:00,1280.03,ATM Withdrawal,ONLINE,Mobile App,Yes,Kolkata,Kolkata,1.4,830,2,0
503708,175608,2026-05-30,11:23:00,8154.14,Electronics,ATM,Mobile App,No,Delhi,Delhi,14.0,2403,0,0
502765,120446,2026-08-20,15:29:00,6596.68,Utility Bill,POS,Mobile App,No,Bengaluru,Bengaluru,12.9,148,1,0
505113,199245,2026-05-28,08:57:00,5580.22,Pharmacy,POS,POS Terminal,No,Rajpura,Rajpura,10.8,2069,0,0
504007,125141,2026-03-15,09:27:00,2603.79,Travel,UPI,POS Terminal,No,Hyderabad,Hyderabad,5.9,1700,1,0
501872,120681,2026-08-10,16:19:00,1727.67,Utility Bill,POS,Web Browser,Yes,Bengaluru,Bengaluru,14.0,3155,2,0
505757,133045,2026-06-04,14:21:00,5830.41,E-commerce,UPI,POS Terminal,No,Mumbai,Mumbai,6.5,3726,2,0
503194,119191,2026-06-19,07:40:00,2526.1,Electronics,ATM,Mobile App,No,Kolkata,Kolkata,3.0,2751,1,0
503755,103774,2026-07-12,01:53:00,3693.36,E-commerce,POS,USSD,Yes,Pune,Pune,13.7,3594,1,0
505626,169349,2026-07-22,14:37:00,2601.6,Electronics,NEFT,Web Browser,Yes,Hyderabad,Hyderabad,8.6,478,2,0
504895,148204,2026-03-17,14:44:00,3982.33,Travel,ATM,USSD,No,Kolkata,Kolkata,0.7,1224,3,0
504103,119006,2026-06-02,09:44:00,10284.87,Grocery,UPI,Mobile App,No,Rajpura,Rajpura,14.1,1020,0,0
501262,192469,2026-05-27,16:08:00,1765.55,Pharmacy,POS,ATM Machine,No,Delhi,Delhi,3.1,2328,2,0
502339,104344,2026-05-17,11:38:00,3961.41,Jewellery,POS,Mobile App,Yes,Hyderabad,Hyderabad,14.4,519,1,0
500085,162975,2026-02-03,18:48:00,2650.65,Dining,POS,Web Browser,Yes,Hyderabad,Hyderabad,6.1,3869,2,0
503822,101101,2026-08-14,23:46:00,3481.3,Electronics,NEFT,ATM Machine,No,Delhi,Delhi,0.1,744,2,0
502654,137305,2026-01-09,23:28:00,2601.92,Utility Bill,UPI,Mobile App,Yes,Mumbai,Mumbai,1.3,282,1,0
505546,188741,2026-07-31,16:10:00,3062.1,Utility Bill,UPI,Web Browser,No,Bengaluru,Bengaluru,13.5,346,0,0
502747,122460,2026-08-17,01:51:00,5011.68,Travel,ONLINE,ATM Machine,Yes,Mumbai,Mumbai,10.5,2000,5,0
502859,172447,2026-06-30,23:17:00,3417.74,Travel,UPI,Web Browser,Yes,Bengaluru,Bengaluru,14.9,2180,5,0
500997,152637,2026-01-06,04:11:00,1935.32,Travel,POS,ATM Machine,No,Chennai,Chennai,3.6,3176,2,0
500229,154690,2026-08-15,13:38:00,1918.73,Jewellery,POS,POS Terminal,Yes,Mumbai,Mumbai,4.8,3186,0,0
503265,152643,2026-05-22,22:38:00,2749.08,Dining,UPI,Mobile App,No,Hyderabad,Hyderabad,1.4,641,2,0
504829,191832,2026-05-23,07:28:00,1826.06,Electronics,POS,POS Terminal,Yes,Ahmedabad,Ahmedabad,5.3,1814,1,0
503943,192786,2026-03-08,05:33:00,8002.1,Dining,ONLINE,POS Terminal,No,Rajpura,Rajpura,7.5,1930,1,0
505460,189289,2026-01-02,08:11:00,7485.7,Fuel,UPI,Mobile App,Yes,Bengaluru,Bengaluru,5.8,3619,1,0
503833,180826,2026-02-10,17:26:00,2768.37,Travel,UPI,POS Terminal,Yes,Chennai,Chennai,6.0,2961,4,0
501653,105191,2026-04-11,17:55:00,2061.5,Travel,POS,Mobile App,Yes,Bengaluru,Bengaluru,8.4,1541,1,0
500080,166980,2026-06-14,10:20:00,6603.54,Utility Bill,ATM,POS Terminal,Yes,Hyderabad,Hyderabad,1.8,3261,2,0
500965,194913,2026-07-04,23:30:00,771.39,Grocery,POS,POS Terminal,Yes,Mumbai,Mumbai,11.8,621,0,0
500927,154125,2026-01-30,16:22:00,5865.02,Pharmacy,POS,Web Browser,Yes,Chennai,Chennai,7.0,2077,1,0
